#GO function	AUPRC	# of gene families for which a GO function was predicted at Pr>=50%
16651	0.1975955457	27
16652	0.1530801361	4
16655	0.2861852602	23
16661	0.1350476462	0
16675	0.3003712157	6
16676	0.3003712157	6
16695	0.168663177	4
16699	0.168663177	4
16730	0.168663177	4
16740	0.2420572534	1
16758	0.0301960082	2
16779	0.0509690527	2
16782	0.0930141481	4
16783	0.0380064079	1
16787	0.2810073483	154
16798	0.0547487557	10
16817	0.1571273548	18
16818	0.1580209833	18
16820	0.0915935096	18
16829	0.0912437273	0
16838	0.0627076545	1
16849	0.0179908491	0
16859	0.0397534931	2
16874	0.1681717368	56
16875	0.2656190635	33
16876	0.2656190635	33
16877	0.1792628599	3
16878	0.1792628599	3
16879	0.1307945829	11
16881	0.1368668661	8
16885	0.0924052294	2
16887	0.1193742337	21
17004	0.0194509474	0
17076	0.2617514239	234
17111	0.158040976	17
18130	0.1792978402	193
18208	0.0411362424	2
19219	0.0530848095	22
19222	0.067597789	20
19288	0.4564258103	8
19359	0.062664582	0
19362	0.0486085869	0
19363	0.062664582	0
19400	0.0438082261	1
19438	0.1704771292	141
19439	0.0864796998	3
19464	0.4153549703	4
19538	0.221793954	211
19556	0.1440849469	2
19557	0.1440849469	2
19585	0.2782606735	0
19637	0.2150522258	132
19674	0.062664582	0
19682	0.4564258103	8
19692	0.1001478455	2
19693	0.1662564834	33
19720	0.2222373781	10
19725	0.03808737	1
19751	0.033075232	2
19752	0.3210489081	204
19829	0.1891240252	12
19843	0.4291228846	69
19867	0.0489378713	8
20037	0.0537389219	1
22603	0.1940993937	18
22604	0.2042576995	18
22607	0.0272777172	0
22613	0.1035634817	2
22804	0.0896051918	16
22857	0.1116364642	60
22890	0.1245454349	36
22891	0.0918613744	31
22892	0.0947587096	27
22900	0.1131324006	13
22904	0.0953954782	1
30001	0.041045892	2
30003	0.0523504523	4
30203	0.1390332366	17
30312	0.0446086255	12
30313	0.0508669954	12
30529	0.257442677	104
30554	0.2372605424	186
31224	0.1315647381	80
31323	0.0619807332	24
31326	0.0599564512	22
31668	0.0192547923	0
31975	0.050673759	12
32196	0.0727007367	7
32268	0.0840845885	2
32502	0.0958583977	21
32549	0.2606973374	239
32550	0.2599659864	237
32553	0.25703429	242
32555	0.2571717328	237
32559	0.231669446	179
32787	0.080085952	12
32989	0.2213124695	21
32991	0.1888075445	140
33036	0.04991754	1
33692	0.086765554	1
33865	0.0571643231	2
33866	0.1282098509	2
33875	0.0571643231	2
34030	0.1282098509	2
34032	0.0571643231	2
34033	0.1282098509	2
34061	0.0195899497	1
34062	0.042591936	2
34622	0.0109284905	0
34641	0.3589066288	721
34654	0.1147577095	46
34655	0.0867627579	3
34660	0.2608331475	42
40011	0.254640197	20
40029	0.1523693015	1
42126	0.3101646721	2
42168	0.1920066943	5
42180	0.0322644884	2
42181	0.0413044246	2
42254	0.1035634817	2
42278	0.1202790828	4
42357	0.0847896387	0
42364	0.1961125395	22
42401	0.1977978992	0
42430	0.2194485162	0
42435	0.3981755668	0
42440	0.093914054	5
42451	0.1248389168	14
42454	0.0834542121	3
42455	0.1650167049	20
42546	0.3971601387	18
42592	0.0302482585	2
42597	0.0284188466	4
42623	0.1040284138	9
42625	0.152747779	12
42626	0.0985763239	16
42723	0.0751401837	0
42724	0.0872588581	0
42726	0.1631245389	3
42727	0.1631245389	3
42773	0.1655133517	1
42777	0.3546981288	12
42822	0.0429662164	2
42823	0.0429662164	2
42927	0.17076383	4
42995	0.1885369192	14
43038	0.5497874468	33
43039	0.5497874468	33
43167	0.4094413331	750
43168	0.3015503179	328
43169	0.2072865403	0
43170	0.3292247072	700
43226	0.1915954758	124
43228	0.2016681072	124
43229	0.1919678552	124
43232	0.2016681072	124
43234	0.0820792771	29
43412	0.0941997441	0
43436	0.3214455588	202
43492	0.0985763239	16
43545	0.2222373781	10
43603	0.0474953539	0
43623	0.0105905386	0
43648	0.1067075095	2
43650	0.1518083383	2
43933	0.0183461946	0
44038	0.4325998606	18
44085	0.0917352573	18
44237	0.5752961466	1768
44238	0.5471480557	1732
44248	0.092353145	3
44249	0.3702860418	789
44255	0.1061432158	27
44260	0.2987924781	602
44262	0.0530509067	0
44264	0.0888880625	1
44267	0.2421631461	192
44270	0.0871073798	3
44271	0.1690546317	115
44272	0.0603811979	0
44391	0.2297089622	1
44422	0.114665429	1
44424	0.3414617424	497
44425	0.1404000456	100
44444	0.2151850813	108
