#GO function	AUPRC	# of gene families for which a GO function was predicted at Pr>=50%
34470	0.0892	0
34622	0.0226	0
34637	0.0225	0
34641	0.2948	626
34645	0.1989	226
34654	0.1136	2
34655	0.0555	0
34660	0.1564	9
35383	0.0412	0
35435	0.5254	0
35639	0.2193	228
36094	0.2339	319
36442	0.0816	0
40011	0.1632	30
42086	0.4892	0
42120	0.0467	0
42122	0.1197	0
42126	0.2638	1
42168	0.1023	1
42221	0.068	3
42254	0.065	0
42278	0.0771	6
42330	0.07	2
42364	0.2479	47
42398	0.0607	4
42401	0.1655	3
42430	0.1527	3
42435	0.3052	3
42439	0.2028	0
42440	0.0393	0
42451	0.1174	14
42454	0.0626	0
42455	0.1439	22
42546	0.1886	0
42597	0.0579	8
42623	0.1319	40
42625	0.2189	29
42626	0.1543	34
42651	0.1135	24
42710	0.0508	0
42723	0.0272	2
42724	0.0228	1
42726	0.2863	9
42727	0.2863	9
42773	0.1028	0
42777	0.2655	17
42822	0.011	4
42823	0.011	4
42886	0.0191	1
42995	0.1401	1
43038	0.2969	11
43039	0.2969	11
43086	0.0537	0
43163	0.1668	0
43165	0.1668	0
43167	0.2877	510
43168	0.2342	305
43169	0.126	9
43170	0.3285	916
43225	0.0823	6
43226	0.2302	149
43228	0.2471	149
43229	0.2312	149
43232	0.2471	149
43234	0.0785	40
43412	0.0573	0
43414	0.0408	0
43419	0.7255	4
43436	0.1998	108
43446	0.4856	34
43447	0.4856	34
43492	0.1543	34
43545	0.1798	0
43565	0.0304	0
43570	0.047	10
43571	0.047	10
43603	0.0994	13
43604	0.0539	5
43605	0.2775	4
43623	0.0241	0
43900	0.0708	0
43933	0.0195	0
44036	0.0495	0
44038	0.214	0
44085	0.0859	0
44087	0.0206	1
44091	0.1668	0
44092	0.0521	0
44106	0.1297	5
44205	0.1796	0
44237	0.4544	3168
44238	0.4402	2619
44247	0.1213	0
44248	0.0654	0
44249	0.2956	783
44255	0.0584	3
44260	0.2987	778
44262	0.0265	0
44267	0.2235	199
44270	0.0595	0
44271	0.1503	118
44272	0.037	0
44275	0.0708	0
44281	0.2788	358
44282	0.0705	3
44283	0.232	131
44391	0.2169	0
44403	0.0892	1
44409	0.2071	0
44419	0.0892	1
44422	0.1456	0
44423	0.2349	55
44424	0.3026	603
44425	0.1848	47
44427	0.3404	41
44436	0.1416	32
44444	0.2284	112
44445	0.2344	4
44446	0.1398	0
44461	0.1747	1
44462	0.0644	7
44463	0.1747	1
44464	0.3407	1411
44699	0.4299	2629
44700	0.0297	0
44710	0.3488	1245
44711	0.2563	375
44712	0.0754	0
44723	0.0674	4
44724	0.0709	0
44763	0.348	1048
44764	0.1015	0
44765	0.1351	106
44767	0.0405	0
44769	0.1995	17
44780	0.0547	0
44781	0.0667	0
44802	0.1048	0
45135	0.1197	0
45156	0.1376	0
45184	0.0698	1
45226	0.0832	0
45227	0.4129	1
45229	0.0534	0
45230	0.4129	1
45259	0.038	11
45261	0.2136	5
45333	0.1096	34
45893	0.0369	4
45935	0.0369	4
46034	0.0794	1
46039	0.0558	0
46040	0.0992	1
46049	0.0816	0
46116	0.1112	0
46128	0.0768	6
46129	0.1174	14
46130	0.0613	0
46131	0.1064	0
46132	0.1753	0
46134	0.1753	0
46148	0.0473	0
46164	0.0481	0
46219	0.3052	3
46336	0.0791	0
46365	0.0512	1
46379	0.0832	0
46390	0.1741	33
46394	0.1878	73
46395	0.0871	0
46405	0.5502	5
46434	0.0715	0
46467	0.1255	3
46483	0.2948	624
46490	0.3496	3
46493	0.1658	3
46496	0.1082	1
46501	0.2391	0
46689	0.1157	9
46700	0.056	0
46872	0.1251	13
46873	0.0262	6
46903	0.0419	0
46906	0.0672	26
46914	0.0624	9
46933	0.2126	17
46942	0.0302	1
46961	0.0816	0
46992	0.5232	9
48037	0.0722	0
48038	0.0723	0
48518	0.0178	1
48522	0.0225	1
48856	0.0391	0
48869	0.0394	0
48870	0.1759	11
50136	0.1932	13
50485	0.5232	9
50497	0.711	0
50524	0.711	0
50787	0.1259	0
50789	0.1132	0
50790	0.0326	0
50793	0.0886	0
50794	0.1095	0
50896	0.0839	0
51002	0.1246	0
51003	0.1246	0
51119	0.097	1
51128	0.0537	0
51171	0.0855	0
51173	0.0369	4
51179	0.1953	208
51183	0.22	8
51186	0.0955	12
51188	0.0996	19
51189	0.1626	0
51213	0.0151	0
51234	0.1821	137
51246	0.0524	2
51252	0.0839	0
51254	0.0369	4
51276	0.0529	10
51301	0.0442	1
51302	0.1481	2
51536	0.0435	0
51539	0.0434	0
51540	0.0434	0
51607	0.1215	22
51641	0.0518	3
51649	0.0515	3
51674	0.1759	11
51701	0.0956	0
51704	0.1322	89
51707	0.0641	19
51716	0.0521	0
51726	0.2002	2
51806	0.2071	0
51828	0.2071	0
52126	0.2071	0
52192	0.2071	0
52689	0.0543	1
52803	0.3266	14
55085	0.0625	10
55086	0.1329	42
55114	0.143	94
55129	0.5826	0
60089	0.0257	0
60255	0.0883	0
60491	0.038	0
61024	0.0979	0
61505	0.1119	1
65003	0.0203	0
65007	0.1164	0
65008	0.0394	1
65009	0.031	0
70011	0.0323	0
70035	0.0123	1
70271	0.0206	0
70283	0.1043	5
70589	0.214	0
70925	0.0429	0
71103	0.0169	2
71554	0.0421	0
71702	0.1088	44
71704	0.479	3835
71705	0.0252	4
71709	0.1668	0
71822	0.0237	0
71840	0.0933	0
71941	0.2698	20
71944	0.1415	0
72330	0.0454	7
72348	0.0466	6
72509	0.0504	0
72511	0.0345	0
72521	0.0881	8
72522	0.1168	13
72523	0.0569	0
72524	0.1234	0
72525	0.1469	3
72527	0.0774	0
72528	0.0827	0
80090	0.0881	0
80109	0.3363	0
90304	0.2095	108
90305	0.0395	8
