#GO function	AUPRC	# of gene families for which a GO function was predicted at Pr>=50%
30312	0.0496	14
30313	0.0559	17
30529	0.2293	115
30554	0.2182	200
31224	0.1943	291
31323	0.0646	27
31326	0.0622	28
31975	0.0557	17
32196	0.092	21
32268	0.0835	5
32502	0.0968	16
32506	0.0256	1
32549	0.2442	262
32550	0.2409	260
32553	0.2405	261
32555	0.2394	260
32559	0.2161	201
32561	0.0477	0
32787	0.0765	14
32989	0.2292	16
32991	0.1741	157
33036	0.0656	8
33037	0.0589	2
33692	0.0691	2
34062	0.0548	1
34622	0.018	0
34641	0.3128	906
34654	0.1016	55
34655	0.0827	4
34660	0.2732	53
40011	0.223	45
42126	0.116	0
42168	0.1846	1
42180	0.0705	0
42181	0.1033	0
42254	0.1116	2
42278	0.1167	10
42357	0.0396	1
42364	0.2773	45
42401	0.0898	0
42402	0.0205	0
42430	0.1224	0
42435	0.1815	0
42436	0.0293	0
42440	0.0808	1
42451	0.1643	16
42454	0.0783	4
42455	0.1648	17
42537	0.0301	0
42546	0.3585	16
42592	0.0225	2
42597	0.026	3
42623	0.1168	6
42625	0.2613	29
42626	0.1265	38
42723	0.0605	0
42724	0.0969	1
42726	0.2531	8
42727	0.2531	8
42773	0.2645	1
42777	0.4614	22
42822	0.0403	0
42823	0.0403	0
42927	0.1189	3
42995	0.1268	31
43038	0.5388	29
43039	0.5388	29
43102	0.0896	2
43167	0.3663	880
43168	0.2725	354
43169	0.1907	2
43170	0.3006	901
43225	0.0839	2
43226	0.2306	182
43228	0.2425	180
43229	0.2311	182
43232	0.2425	180
43234	0.0687	15
43412	0.083	2
43436	0.2926	216
43492	0.1265	38
43545	0.1271	6
43603	0.0714	6
43623	0.019	0
43648	0.1351	0
43650	0.1947	0
43933	0.0355	0
44038	0.3908	16
44042	0.1184	0
44085	0.1319	23
44237	0.5007	2845
44238	0.4686	2361
44248	0.1022	4
44249	0.3057	920
44255	0.0868	24
44260	0.2634	688
44262	0.0546	2
44264	0.0584	2
44267	0.2204	185
44270	0.0832	4
44271	0.153	185
44272	0.0553	0
44391	0.2002	1
44422	0.1777	30
44424	0.3298	546
44425	0.2011	334
44427	0.1102	0
44444	0.2	109
44445	0.0068	0
44446	0.1107	1
44461	0.4127	29
44462	0.0453	9
44463	0.4127	29
44464	0.3453	1060
45184	0.0565	8
45259	0.2008	9
45261	0.2333	4
45333	0.1163	3
46034	0.0934	4
46039	0.0635	0
46040	0.3469	8
46049	0.1593	2
46112	0.2319	2
46128	0.1163	10
46129	0.1643	16
46130	0.0823	4
46148	0.0899	1
46218	0.0293	0
46219	0.1815	0
46351	0.0899	0
46365	0.0966	1
46385	0.2808	1
46390	0.2035	31
46394	0.2414	98
46395	0.083	3
46405	0.0698	0
46417	0.136	0
46434	0.0867	4
46467	0.1116	0
46483	0.3134	928
46490	0.5428	10
46493	0.1504	0
46501	0.2195	1
46700	0.0827	4
46872	0.1862	1
46873	0.0991	7
46903	0.0388	1
46914	0.098	0
46915	0.0549	2
46916	0.0303	4
46933	0.4159	22
46942	0.0502	1
46961	0.1268	0
48037	0.1084	7
48038	0.1786	12
48869	0.1313	16
48870	0.3951	37
48878	0.068	4
50136	0.3925	23
50789	0.1041	119
50793	0.2235	16
50794	0.0996	120
50801	0.068	4
50896	0.1106	113
51002	0.0158	0
51003	0.0158	0
51119	0.1395	16
51128	0.1633	15
51171	0.0582	24
51179	0.207	405
51183	0.2116	7
51186	0.145	34
51188	0.1494	27
51189	0.1201	6
51213	0.0468	4
51234	0.191	324
51246	0.0835	5
51252	0.0573	24
51301	0.0818	17
51302	0.0509	2
51540	0.1489	31
51641	0.0445	1
51649	0.0478	0
51674	0.3951	37
51704	0.0512	43
51707	0.1957	50
51716	0.0914	76
51726	0.1084	2
52689	0.0527	5
55065	0.0688	4
55072	0.0309	4
55076	0.0688	4
55080	0.0709	4
55082	0.0277	4
55086	0.1721	59
55114	0.1956	219
60089	0.0632	54
60255	0.0659	31
65003	0.0204	0
65007	0.1075	118
65008	0.0869	22
70011	0.0476	0
70271	0.0205	0
71103	0.0426	0
71554	0.0864	16
1901661	0.1033	0
1901663	0.1033	0
