#GO function	AUPRC	# of gene families for which a GO function was predicted at Pr>=50%
46559	0.4131	1
46821	0.0181	0
46872	0.1454	6
46903	0.046	1
46906	0.0517	4
46914	0.0719	13
46933	0.1011	0
46992	0.3267	4
48037	0.0809	6
48038	0.1207	21
48856	0.054	0
48869	0.0534	0
48870	0.1472	7
50136	0.2124	19
50485	0.3267	4
50789	0.157	26
50793	0.0796	0
50794	0.1517	23
50896	0.0876	9
51119	0.0901	5
51128	0.0495	0
51171	0.1274	12
51179	0.1828	88
51183	0.1352	2
51186	0.0856	0
51188	0.0904	0
51189	0.2115	7
51213	0.0468	0
51234	0.1617	52
51246	0.021	1
51252	0.1293	12
51276	0.0489	7
51301	0.0357	0
51302	0.182	0
51536	0.0699	7
51539	0.0422	1
51540	0.0696	7
51607	0.1383	14
51641	0.0435	0
51649	0.0434	0
51674	0.1472	7
51701	0.0174	0
51704	0.0788	4
51707	0.0714	14
51716	0.0645	8
51726	0.3352	0
51806	0.0404	0
51828	0.0404	0
52126	0.0404	0
52192	0.0404	0
52636	0.5879	0
52689	0.0126	0
52803	0.1818	7
55085	0.0534	7
55086	0.1033	0
55114	0.1889	131
60089	0.0549	3
60255	0.13	12
61505	0.1382	0
65007	0.1581	26
65008	0.0367	0
70011	0.0307	0
70589	0.1249	0
71103	0.0254	0
71265	0.0419	4
71267	0.0966	5
71554	0.0345	0
71702	0.0619	0
71704	0.4688	3733
71766	0.5879	0
71840	0.0724	0
71941	0.1415	0
71944	0.1194	65
72348	0.051	0
72521	0.0713	0
72522	0.0677	0
72527	0.0192	0
72528	0.0176	0
80090	0.1289	12
80109	0.1514	3
90304	0.2208	91
90305	0.0251	0
90407	0.1038	4
90482	0.184	2
90529	0.0578	1
97159	0.3575	635
97367	0.1621	66
98542	0.0912	14
1901135	0.1069	3
1901137	0.0921	5
1901265	0.188	87
1901269	0.1412	0
1901271	0.1412	0
1901293	0.0689	0
1901360	0.3032	757
1901362	0.1853	109
1901363	0.3567	631
1901476	0.0708	1
1901564	0.2669	339
1901565	0.0476	0
1901566	0.2641	207
1901575	0.0795	0
1901576	0.3115	873
1901605	0.1444	25
1901607	0.1697	33
1901657	0.0675	0
1901677	0.3082	6
1902494	0.0271	1
1902589	0.0531	7
1990204	0.0834	1
2000112	0.1283	12
2001057	0.2286	2
2001141	0.1291	12
