#GO function	AUPRC	# of gene families for which a GO function was predicted at Pr>=50%
55085	0.0384	0
55086	0.0313	0
55114	0.0739	0
60089	0.0156	0
60255	0.0754	0
61505	3.0E-4	0
65007	0.1048	0
65008	0.0086	0
70011	0.0222	0
70589	0.001	0
71103	0.0034	0
71265	6.0E-4	0
71267	2.0E-4	0
71554	0.0068	0
71702	0.0308	0
71704	0.3338	6
71766	1.0E-4	0
71840	0.0265	0
71941	0.0023	0
71944	0.0661	0
72348	0.0018	0
72521	0.0174	0
72522	0.0055	0
72527	0.0044	0
72528	0.0033	0
80090	0.0755	0
80109	1.0E-4	0
90304	0.1399	0
90305	0.0156	0
90407	0.0214	0
90482	0.0012	0
90529	0.0024	0
97159	0.2593	0
97367	0.0741	0
98542	0.0026	0
1901135	0.036	0
1901137	0.0159	0
1901265	0.095	0
1901269	0.001	0
1901271	0.001	0
1901293	0.0111	0
1901360	0.1937	0
1901362	0.1038	0
1901363	0.2595	0
1901476	0.0028	0
1901564	0.0596	1
1901565	0.0186	0
1901566	0.0306	0
1901575	0.0331	0
1901576	0.1692	0
1901605	0.0166	0
1901607	0.0099	0
1901657	0.0224	0
1901677	4.0E-4	0
1902494	0.007	0
1902589	0.0013	0
1990204	0.0016	0
2000112	0.075	0
2001057	3.0E-4	0
2001141	0.0701	0
