#GO function	AUPRC	# of gene families for which a GO function was predicted at Pr>=50%
31328	5.0E-4	0
31344	3.0E-4	0
31597	2.0E-4	0
31975	0.0202	0
32196	0.0091	0
32259	0.0325	0
32268	0.0024	0
32324	0.0014	0
32502	0.0067	0
32506	0.0027	0
32549	0.0795	3
32550	0.0792	3
32553	0.0865	2
32555	0.0797	3
32559	0.0736	4
32561	0.0085	0
32774	0.0686	0
32787	0.0078	0
32940	0.0114	0
32989	0.0029	0
32991	0.0415	0
33013	0.0083	0
33014	0.0089	0
33036	0.0182	0
33037	0.001	0
33043	3.0E-4	0
33178	0.0012	0
33554	0.02	0
34062	0.0042	0
34220	0.008	0
34357	0.0015	0
34470	0.012	0
34622	0.0032	0
34637	0.0067	0
34641	0.2054	0
34645	0.1089	0
34654	0.0859	4
34655	0.0187	0
34660	0.0145	0
35383	0.0011	0
35435	3.0E-4	0
35639	0.0792	3
36094	0.1179	2
36442	8.0E-4	0
40011	0.0061	0
42086	0.0021	0
42120	0.0014	0
42122	9.0E-4	0
42126	4.0E-4	0
42168	0.0017	0
42221	0.0094	0
42254	0.0056	0
42278	0.0206	0
42330	0.0033	0
42364	0.0091	0
42398	0.0034	0
42401	0.0015	0
42430	0.001	0
42435	8.0E-4	0
42439	0.0017	0
42440	0.0038	0
42451	0.0061	0
42454	0.0146	0
42455	0.0078	0
42546	0.0026	0
42597	0.0119	0
42623	0.0128	0
42625	0.0036	0
42626	0.0079	0
42651	0.0013	0
42710	0.0015	0
42723	0.003	0
42724	0.0025	0
42726	0.001	0
42727	0.001	0
42773	0.0011	0
42777	0.0032	0
42822	0.0017	0
42823	0.0017	0
42886	0.0019	0
42995	0.0074	0
43038	0.0045	0
43039	0.0045	0
43086	0.0026	0
43163	0.001	0
43165	0.001	0
43167	0.1751	4
43168	0.1017	2
43169	0.0886	0
43170	0.2415	0
43225	6.0E-4	0
43226	0.0303	0
43228	0.0286	0
43229	0.0289	0
43232	0.0286	0
43234	0.0205	0
43412	0.0296	0
43414	0.0082	0
43419	3.0E-4	0
43436	0.0374	0
43446	0.005	0
43447	0.005	0
43492	0.0079	0
43545	0.0014	0
43565	0.0207	0
43570	7.0E-4	0
43571	7.0E-4	0
43603	0.0054	0
43604	0.0037	0
43605	7.0E-4	0
43623	0.003	0
43900	5.0E-4	0
43933	0.0047	0
44036	0.0064	0
44038	0.0026	0
44085	0.0212	0
44087	0.0011	0
44091	0.001	0
44092	0.0025	0
44106	0.003	0
44205	0.0014	0
44237	0.3187	6
44238	0.3299	13
44247	8.0E-4	0
44248	0.0336	0
44249	0.1685	0
44255	0.0175	0
44260	0.1953	0
44262	0.0107	0
44267	0.0378	0
44270	0.0206	0
44271	0.1027	0
44272	0.0083	0
44275	0.0012	0
44281	0.0831	0
44282	0.0074	0
44283	0.037	0
44391	0.0025	0
44403	0.0032	0
44409	2.0E-4	0
44419	0.0032	0
44422	0.0106	0
44423	0.006	0
44424	0.0896	4
44425	0.1367	0
44427	0.0038	0
44436	0.0015	0
44444	0.0212	0
44445	9.0E-4	0
44446	0.0084	0
44461	0.0028	0
44462	0.0194	0
44463	0.0028	0
44464	0.1921	1
44699	0.3015	0
44700	0.0206	0
44710	0.1947	0
44711	0.0681	0
44712	0.0277	0
44723	0.0259	0
44724	0.0046	0
44763	0.2298	0
44764	0.0077	0
44765	0.0696	0
44767	0.0047	0
44769	0.0028	0
44780	0.0025	0
44781	0.0045	0
44802	0.0015	0
45135	9.0E-4	0
45156	5.0E-4	0
45184	0.0167	0
45226	8.0E-4	0
45227	3.0E-4	0
45229	0.0021	0
45230	3.0E-4	0
45259	0.0031	0
45261	5.0E-4	0
