#go	freq
62	1.0010518028011758E-4
105	0.0041003547448225834
107	7.41243939562545E-4
52007	2.3280274483748272E-7
101	7.028314866643604E-4
104	0.0011020881940606432
103	9.78935542041615E-4
70004	1.1640137241874137E-6
70003	3.97859890927258E-4
70001	0.0012438650656666703
51996	1.024332077284924E-5
51991	4.6141504026789076E-4
51992	4.6048382928854086E-4
34775	1.3968164690248965E-6
51989	2.786648855704668E-4
97	0.005644069745839931
98	2.3280274483748272E-7
52001	2.095224703537345E-6
99	5.207797402014488E-4
100	2.3280274483748272E-7
52002	2.3280274483748272E-7
51998	7.759315485433299E-4
96	0.006399980258327238
52173	9.777715283174275E-6
70035	0.006368551887774178
52167	4.6560548967496545E-7
34567	4.6560548967496545E-7
139	1.629619213862379E-6
52170	4.6560548967496545E-7
70013	3.957646662237207E-6
52150	2.3280274483748272E-7
34551	3.0264356828872755E-6
70011	0.02401593115743472
52151	2.3280274483748272E-7
70006	6.46260419668852E-4
70008	0.0015197363182990872
175	4.5908701281951596E-4
34605	1.7320524215908714E-4
70063	7.701114799223929E-4
34611	4.6560548967496545E-7
178	6.751279600286999E-6
179	5.79678834645332E-4
165	5.12166038642462E-6
34599	9.158459981906571E-4
166	0.1991802084143293
52200	9.31210979349931E-6
172	3.7248439173997236E-6
52192	3.678283368432227E-5
160	0.029056576188655894
159	2.3280274483748272E-7
34595	2.3280274483748272E-7
162	0.0022640066935445194
52195	3.957646662237207E-6
34593	2.3280274483748272E-7
150	0.0011204796109028044
70043	5.461552393887345E-4
70042	2.3280274483748272E-7
70041	1.673851735381501E-4
151	4.423252151912172E-6
70040	4.085688171897822E-4
154	0.0037551082742285965
70039	1.1826379437744123E-4
70038	2.3280274483748272E-7
156	0.017103319254975345
155	0.014203993870769333
70037	3.0264356828872755E-6
34641	0.3091788069418054
34644	2.3280274483748272E-7
209	1.1640137241874137E-6
52116	3.957646662237207E-6
210	9.475071714885548E-5
70098	6.984082345124482E-7
34637	0.0077902782504966845
34639	1.9229506723576073E-4
70085	0.0010238664717952491
34634	6.984082345124482E-7
52106	2.3280274483748272E-7
70088	2.3280274483748272E-7
34635	1.3968164690248965E-6
34629	2.3280274483748272E-7
52097	2.3280274483748272E-7
34627	9.940677204560513E-5
34628	1.1640137241874137E-6
34622	0.003906662861117798
70084	6.46260419668852E-4
34618	3.519977501942739E-4
70069	3.0031554084035273E-5
186	5.12166038642462E-6
34620	2.3280274483748272E-7
70071	3.468760898078493E-5
34613	0.005001534170088479
34614	9.142163789767946E-4
70076	9.312109793499309E-7
52143	3.957646662237207E-6
234	1.1640137241874137E-6
229	2.3280274483748272E-7
34661	4.679335171233403E-4
226	3.0264356828872755E-6
52131	2.3280274483748272E-7
34660	0.031573872268583596
225	2.3280274483748274E-6
228	1.8624219586998618E-6
52128	2.3280274483748272E-7
34655	0.04699728691681166
52127	3.957646662237207E-6
52126	3.678283368432227E-5
224	2.095224703537345E-6
34654	0.12753749171804235
217	2.3280274483748272E-7
213	3.7248439173997236E-6
34645	0.16590198725079047
34646	1.3968164690248965E-6
52821	7.635930030669434E-5
280	2.3280274483748272E-7
52822	7.635930030669434E-5
52823	1.676179762829876E-5
278	1.1640137241874137E-6
52833	2.1091928682275937E-4
52834	3.2406142081377597E-4
287	0.023758218518899626
286	2.56083019321231E-4
52832	2.1091928682275937E-4
52842	4.6560548967496545E-7
52841	4.6560548967496545E-7
52844	4.6560548967496545E-7
52843	4.6560548967496545E-7
52838	7.892013049990664E-5
52837	7.892013049990664E-5
295	5.0983801119408715E-5
52840	4.6560548967496545E-7
293	1.1640137241874137E-6
52852	6.402075483030776E-5
52851	4.6560548967496545E-7
52846	4.6560548967496545E-7
52845	4.6560548967496545E-7
303	4.8748894768968883E-4
52848	4.6560548967496545E-7
302	0.0010685645988040458
52847	4.6560548967496545E-7
301	1.629619213862379E-6
52795	3.3756398001435E-5
52796	3.3756398001435E-5
250	9.312109793499309E-7
52794	3.3756398001435E-5
246	9.312109793499309E-7
35447	3.678283368432227E-5
35446	3.748124191883472E-5
52803	0.004947058327796508
257	3.515321447045989E-5
35460	2.630671016663555E-5
255	2.7400883067371716E-4
256	2.132473142711342E-4
35461	7.14704426651072E-5
52805	6.085463750051799E-4
276	5.354463131262103E-6
270	0.011278361776396689
52815	2.3280274483748272E-7
272	0.0015174082908507125
271	0.009620573430408974
52757	4.6560548967496545E-7
52761	2.3280274483748272E-7
35552	2.3280274483748272E-7
35553	2.3280274483748272E-7
35556	0.02249735885285982
52778	4.6560548967496545E-7
52777	4.6560548967496545E-7
52779	4.6560548967496545E-7
52782	4.6560548967496545E-7
372	2.3280274483748272E-7
309	3.1893976042735134E-5
52727	2.095224703537345E-6
35511	2.3280274483748272E-7
310	2.1464413074015907E-4
52728	2.095224703537345E-6
35510	1.6971320098652491E-4
52731	2.3280274483748272E-7
52732	2.3280274483748272E-7
35515	2.3280274483748272E-7
35514	4.6560548967496545E-7
